epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.7963,1.38373,3.88524,1.62575,0.03722,0.62123,0.08365,0.04189,1.0768,3.58917,1.48148,0.000162698,0.000162698,0.000162698
2,21.6787,1.20442,3.33119,1.51368,0.69126,0.12491,0.15403,0.09599,1.19709,2.99673,1.59866,0.000318496,0.000318496,0.000318496
3,31.2991,1.2486,2.94905,1.52362,0.36456,0.30252,0.2397,0.13557,1.32731,2.6237,1.75036,0.000463294,0.000463294,0.000463294
4,40.8525,1.27213,2.72803,1.5441,0.31033,0.31572,0.25723,0.15034,1.37601,2.52217,1.79628,0.0004505,0.0004505,0.0004505
5,50.3768,1.21672,2.53988,1.51646,0.36085,0.3347,0.30215,0.18095,1.30978,2.19564,1.7152,0.000434,0.000434,0.000434
6,59.8704,1.20179,2.30008,1.48678,0.41936,0.38193,0.36883,0.22326,1.29727,2.13138,1.68785,0.0004175,0.0004175,0.0004175
7,69.4372,1.17626,2.24498,1.48405,0.44294,0.39421,0.41418,0.25663,1.22441,1.99026,1.63126,0.000401,0.000401,0.000401
8,78.9394,1.14749,2.14289,1.45789,0.40502,0.38917,0.38768,0.2417,1.28966,2.02248,1.69828,0.0003845,0.0003845,0.0003845
9,88.4579,1.15206,2.07573,1.45596,0.51459,0.46119,0.46778,0.30335,1.17989,1.81734,1.57563,0.000368,0.000368,0.000368
10,97.998,1.09745,1.92453,1.41777,0.45342,0.48596,0.48636,0.3159,1.18797,1.77566,1.5975,0.0003515,0.0003515,0.0003515
11,107.566,1.11641,1.90875,1.42535,0.53472,0.53607,0.52058,0.34192,1.19227,1.68576,1.57219,0.000335,0.000335,0.000335
12,117.129,1.10457,1.82964,1.40632,0.66448,0.49542,0.57271,0.37573,1.15949,1.62755,1.56305,0.0003185,0.0003185,0.0003185
13,126.691,1.07974,1.7996,1.40706,0.61805,0.56279,0.57303,0.38442,1.12712,1.59341,1.50699,0.000302,0.000302,0.000302
14,136.227,1.05468,1.73773,1.38829,0.67239,0.52152,0.5783,0.39126,1.1434,1.5351,1.52636,0.0002855,0.0002855,0.0002855
15,145.796,1.04018,1.6776,1.37396,0.57835,0.60053,0.61597,0.41299,1.12657,1.49135,1.50228,0.000269,0.000269,0.000269
16,155.345,1.01777,1.65016,1.36407,0.61283,0.54103,0.61778,0.40905,1.10708,1.44994,1.48863,0.0002525,0.0002525,0.0002525
17,164.895,1.03439,1.5763,1.35271,0.63744,0.58318,0.63678,0.43374,1.08909,1.38671,1.48429,0.000236,0.000236,0.000236
18,174.496,1.02627,1.56575,1.35801,0.72033,0.58842,0.666,0.4511,1.09203,1.39264,1.49791,0.0002195,0.0002195,0.0002195
19,184.131,0.9997,1.49999,1.33449,0.59952,0.66421,0.68044,0.46374,1.07024,1.2945,1.47066,0.000203,0.000203,0.000203
20,193.838,0.99025,1.46393,1.33602,0.66326,0.67552,0.68681,0.46619,1.07923,1.28579,1.47827,0.0001865,0.0001865,0.0001865
21,228.773,0.91594,1.44311,1.35136,0.81831,0.56253,0.69853,0.46609,1.09133,1.33065,1.49931,0.00017,0.00017,0.00017
22,238.226,0.87536,1.37332,1.31818,0.67105,0.63506,0.689,0.47249,1.02214,1.29101,1.41568,0.0001535,0.0001535,0.0001535
23,247.634,0.86837,1.32982,1.31133,0.7515,0.61825,0.69445,0.47918,1.03164,1.24518,1.41609,0.000137,0.000137,0.000137
24,257.112,0.84106,1.29234,1.28851,0.69246,0.68146,0.72252,0.50658,0.97975,1.15846,1.37054,0.0001205,0.0001205,0.0001205
25,266.689,0.82736,1.22138,1.27725,0.74214,0.64389,0.72568,0.51849,0.98061,1.14603,1.37773,0.000104,0.000104,0.000104
26,276.141,0.80701,1.16419,1.25689,0.74069,0.64814,0.72506,0.51884,0.98826,1.15708,1.37727,8.75e-05,8.75e-05,8.75e-05
27,285.716,0.80072,1.17081,1.26412,0.81701,0.66576,0.74821,0.53232,0.96824,1.09955,1.3619,7.1e-05,7.1e-05,7.1e-05
28,295.28,0.78746,1.14907,1.24837,0.82889,0.6595,0.74125,0.53388,0.96686,1.08496,1.36218,5.45e-05,5.45e-05,5.45e-05
29,304.839,0.76592,1.09142,1.22096,0.84248,0.63135,0.74725,0.53297,0.96914,1.08978,1.36121,3.8e-05,3.8e-05,3.8e-05
30,314.356,0.77293,1.08101,1.21823,0.73644,0.67048,0.74982,0.53672,0.96119,1.07188,1.35481,2.15e-05,2.15e-05,2.15e-05
